word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
translate,19,8522,1.94e-06,0.00100313,0.001934
provide,26,8496,2.65e-06,0.00100007,0.002654
oversette,45,4392,4.59e-06,0.00051698,0.008886
please,133,8497,1.358e-05,0.00100019,0.013575
innsjekk,10,543,1.02e-06,6.392e-05,0.015972
would,178,8485,1.817e-05,0.00099877,0.018194
utsjekk,13,553,1.33e-06,6.509e-05,0.020388
english,223,8534,2.277e-05,0.00100454,0.022663
spiseskjeer,14,187,1.43e-06,2.201e-05,0.064931
me,813,8698,8.3e-05,0.00102385,0.081066
fornavn,37,379,3.78e-06,4.461e-05,0.08467
utendørsbasseng,16,148,1.63e-06,1.742e-05,0.093762
fylkesrådmannen,11,97,1.12e-06,1.142e-05,0.098353
teksten,585,4934,5.972e-05,0.00058078,0.102831
fryst,13,107,1.33e-06,1.26e-05,0.105372
kilogram,13,106,1.33e-06,1.248e-05,0.106366
vennligst,379,3067,3.869e-05,0.00036102,0.107175
teskje,24,190,2.45e-06,2.236e-05,0.109553
celsius,18,142,1.84e-06,1.671e-05,0.109939
parajumper,22,173,2.25e-06,2.036e-05,0.110292
konfliktfylt,11,85,1.12e-06,1.001e-05,0.112238
tir,16,117,1.63e-06,1.377e-05,0.118604
etternavn,54,394,5.51e-06,4.638e-05,0.118868
kontinentalsokkel,14,95,1.43e-06,1.118e-05,0.127812
sauna,29,188,2.96e-06,2.213e-05,0.133785
you,1426,8655,0.00014558,0.00101878,0.142896
fellesområde,27,162,2.76e-06,1.907e-05,0.144549
søn,86,516,8.78e-06,6.074e-05,0.144549
angående,204,1158,2.083e-05,0.00013631,0.152788
hostell,12,65,1.23e-06,7.65e-06,0.160116
qaeda,10,53,1.02e-06,6.24e-06,0.163641
text,1617,8507,0.00016508,0.00100136,0.164854
venstreparti,24,126,2.45e-06,1.483e-05,0.165199
spesifiserte,11,57,1.12e-06,6.71e-06,0.167373
fraktkostnader,13,67,1.33e-06,7.89e-06,0.168281
bekreftelsen,21,108,2.14e-06,1.271e-05,0.168641
refererer,92,457,9.39e-06,5.379e-05,0.174598
høykvalitets,22,109,2.25e-06,1.283e-05,0.17505
dataprogrammer,10,49,1.02e-06,5.77e-06,0.176999
jippi,24,117,2.45e-06,1.377e-05,0.177907
toalettsaker,24,115,2.45e-06,1.354e-05,0.181001
spesifiserer,19,91,1.94e-06,1.071e-05,0.181084
tilfluktssted,10,47,1.02e-06,5.53e-06,0.184531
gratisspinn,25,117,2.55e-06,1.377e-05,0.185319
sannsynligvis,489,2278,4.992e-05,0.00026814,0.186175
norgesmesterskapet,17,78,1.74e-06,9.18e-06,0.189026
tekanne,14,63,1.43e-06,7.42e-06,0.192732
nøkkelordet,10,45,1.02e-06,5.3e-06,0.192732
nylige,26,116,2.65e-06,1.365e-05,0.194394
planker,11,48,1.12e-06,5.65e-06,0.198755
implementeringen,22,95,2.25e-06,1.118e-05,0.200847
brukermanual,36,154,3.68e-06,1.813e-05,0.202744
ekspertisen,12,51,1.23e-06,6e-06,0.204069
utdaterte,10,42,1.02e-06,4.94e-06,0.206499
initiativer,18,75,1.84e-06,8.83e-06,0.208151
avfeier,12,50,1.23e-06,5.89e-06,0.208151
overens,50,207,5.1e-06,2.437e-05,0.209492
miljødepartementet,15,62,1.53e-06,7.3e-06,0.209829
utendørsaktiviteter,12,49,1.23e-06,5.77e-06,0.212399
darius,15,61,1.53e-06,7.18e-06,0.213269
funksjonsnedsettelse,16,65,1.63e-06,7.65e-06,0.213488
klemmer,100,403,1.021e-05,4.744e-05,0.21521
akselerere,10,40,1.02e-06,4.71e-06,0.216824
årsjubileet,26,104,2.65e-06,1.224e-05,0.216824
dateres,18,71,1.84e-06,8.36e-06,0.219878
feiringer,12,47,1.23e-06,5.53e-06,0.221437
massasjetjenester,12,47,1.23e-06,5.53e-06,0.221437
operasjonell,12,47,1.23e-06,5.53e-06,0.221437
forbeholdes,11,43,1.12e-06,5.06e-06,0.221866
lovfestede,10,39,1.02e-06,4.59e-06,0.222383
håndterte,14,54,1.43e-06,6.36e-06,0.224854
aspektene,32,123,3.27e-06,1.448e-05,0.225638
omtrent,900,3442,9.188e-05,0.00040516,0.226777
utmerkede,46,175,4.7e-06,2.06e-05,0.227975
mottok,257,975,2.624e-05,0.00011477,0.22861
næringsbygg,30,113,3.06e-06,1.33e-05,0.230255
treningssenteret,21,79,2.14e-06,9.3e-06,0.230547
destinasjonen,16,60,1.63e-06,7.06e-06,0.231279
kongedømmer,11,41,1.12e-06,4.83e-06,0.232689
parametere,18,67,1.84e-06,7.89e-06,0.233005
industriområde,14,52,1.43e-06,6.12e-06,0.233502
vevd,14,52,1.43e-06,6.12e-06,0.233502
bibelvers,10,37,1.02e-06,4.36e-06,0.234404
slepe,10,37,1.02e-06,4.36e-06,0.234404
eiendelene,10,37,1.02e-06,4.36e-06,0.234404
brukernavnet,12,44,1.23e-06,5.18e-06,0.236535
politibetjenter,17,62,1.74e-06,7.3e-06,0.237807
gjenoppbygd,11,40,1.12e-06,4.71e-06,0.238506
ørepropper,19,69,1.94e-06,8.12e-06,0.23882
adressefeltet,10,36,1.02e-06,4.24e-06,0.240915
vennen,60,216,6.13e-06,2.543e-05,0.240915
jernbaner,10,36,1.02e-06,4.24e-06,0.240915
småkoke,23,82,2.35e-06,9.65e-06,0.243266
tilbakemeldingen,20,71,2.04e-06,8.36e-06,0.244308
reiseutgifter,11,39,1.12e-06,4.59e-06,0.244622
talentfull,15,53,1.53e-06,6.24e-06,0.245461
byggebransjen,14,49,1.43e-06,5.77e-06,0.247799
kunngjør,18,63,1.84e-06,7.42e-06,0.247799
abonner,19,66,1.94e-06,7.77e-06,0.249676
spiseskje,22,76,2.25e-06,8.95e-06,0.251059
konstante,24,82,2.45e-06,9.65e-06,0.253842
forskriftene,60,205,6.13e-06,2.413e-05,0.253842
